FILE,CLASS,BMT,REPLICATE,DATA SET,CLASS2,C LEVEL,M LEVEL,VERTICES,CONNECTED EDGES,WEDGE COUNT,CLAW COUNT,MAX DEGREE
ACM10,AC,M10,10,Cross-validation,M,90,100,6010,21027,1,3146,5
ACM1,AC,M1,1,Training,M,90,125,4724,16596,2,2418,5
ACM2,AC,M2,2,Training,M,90,125,5015,17591,5,2580,5
ACM3,AC,M3,3,Training,M,90,125,5694,19894,9,2971,5
ACM4,AC,M4,4,Training,M,90,125,3176,11092,11,1667,5
ACM5,AC,M5,5,Training,M,90,125,2952,10273,2,1596,5
ACM6,AC,M6,6,Training,M,90,125,3389,11904,0,1743,5
ACM7,AC,M7,7,Validation,M,90,125,4197,14696,5,2188,5
ACM8,AC,M8,8,Validation,M,90,125,3700,12963,2,1925,5
ACM9,AC,M9,9,Validation,M,90,125,4542,15958,2,2329,5
ACM10,AC,M10,10,Cross-validation,M,90,125,5982,20924,2,3135,5
ACM1,AC,M1,1,Training,M,125,70,4696,16443,2,2445,5
ACM2,AC,M2,2,Training,M,125,70,4907,17140,5,2585,5
ACM3,AC,M3,3,Training,M,125,70,5210,18160,9,2750,5
ACM4,AC,M4,4,Training,M,125,70,2667,9282,14,1409,5
ACM5,AC,M5,5,Training,M,125,70,2592,8933,8,1467,5
ACM6,AC,M6,6,Training,M,125,70,3416,11935,0,1819,5
ACM7,AC,M7,7,Validation,M,125,70,4145,14544,3,2127,5
ACM8,AC,M8,8,Validation,M,125,70,3575,12469,9,1886,5
ACM9,AC,M9,9,Validation,M,125,70,4387,15357,9,2277,5
ACM10,AC,M10,10,Cross-validation,M,125,70,5848,20352,2,3150,5
ACM1,AC,M1,1,Training,M,125,100,4624,16207,2,2388,5
ACM2,AC,M2,2,Training,M,125,100,4901,17110,5,2590,5
ACM3,AC,M3,3,Training,M,125,100,5207,18146,9,2751,5
ACM4,AC,M4,4,Training,M,125,100,2642,9200,11,1393,5
ACM5,AC,M5,5,Training,M,125,100,2584,8899,8,1468,5
ACM6,AC,M6,6,Training,M,125,100,3409,11907,1,1818,5
ACM7,AC,M7,7,Validation,M,125,100,4138,14519,3,2123,5
ACM8,AC,M8,8,Validation,M,125,100,3580,12479,4,1904,5
ACM9,AC,M9,9,Validation,M,125,100,4306,15099,7,2215,5
ACM10,AC,M10,10,Cross-validation,M,125,100,5832,20297,2,3142,5
ACM1,AC,M1,1,Training,M,125,125,4615,16174,2,2385,5
ACM2,AC,M2,2,Training,M,125,125,4864,16981,6,2569,5
ACM3,AC,M3,3,Training,M,125,125,5225,18214,10,2763,5
ACM4,AC,M4,4,Training,M,125,125,2588,9003,9,1378,5
ACM5,AC,M5,5,Training,M,125,125,2565,8845,8,1444,5
ACM6,AC,M6,6,Training,M,125,125,3368,11778,1,1783,5
ACM7,AC,M7,7,Validation,M,125,125,4180,14639,7,2165,5
ACM8,AC,M8,8,Validation,M,125,125,3533,12336,4,1860,5
ACM9,AC,M9,9,Validation,M,125,125,4315,15130,7,2222,5
ACM10,AC,M10,10,Cross-validation,M,125,125,5791,20144,2,3127,5
ACM1,AC,M1,1,Training,M,175,70,4296,15030,8,2228,5
ACM2,AC,M2,2,Training,M,175,70,4462,15476,7,2432,5
ACM3,AC,M3,3,Training,M,175,70,4533,15702,11,2479,5
ACM4,AC,M4,4,Training,M,175,70,1971,6835,9,1066,5
ACM5,AC,M5,5,Training,M,175,70,2099,7216,10,1188,5
ACM6,AC,M6,6,Training,M,175,70,3309,11531,0,1781,5
ACM7,AC,M7,7,Validation,M,175,70,3866,13518,5,2025,5
ACM8,AC,M8,8,Validation,M,175,70,3155,10955,7,1702,5
ACM9,AC,M9,9,Validation,M,175,70,3835,13419,7,1981,5
ACM10,AC,M10,10,Cross-validation,M,175,70,5420,18804,6,2963,5
ACM1,AC,M1,1,Training,M,175,100,4294,15023,8,2227,5
ACM2,AC,M2,2,Training,M,175,100,4456,15449,7,2435,5
ACM3,AC,M3,3,Training,M,175,100,4529,15685,11,2479,5
ACM4,AC,M4,4,Training,M,175,100,1979,6867,10,1065,5
ACM5,AC,M5,5,Training,M,175,100,2091,7182,10,1189,5
ACM6,AC,M6,6,Training,M,175,100,3305,11505,7,1778,5
ACM7,AC,M7,7,Validation,M,175,100,3861,13501,5,2021,5
ACM8,AC,M8,8,Validation,M,175,100,3250,11273,8,1762,5
ACM9,AC,M9,9,Validation,M,175,100,3848,13463,7,1989,5
ACM10,AC,M10,10,Cross-validation,M,175,100,5266,18291,3,2863,5
ACM1,AC,M1,1,Training,M,175,125,4959,17094,222,2430,5
ACM2,AC,M2,2,Training,M,175,125,4428,15353,8,2416,5
ACM3,AC,M3,3,Training,M,175,125,4511,15623,11,2469,5
ACM4,AC,M4,4,Training,M,175,125,2009,6940,9,1114,5
ACM5,AC,M5,5,Training,M,175,125,2077,7141,10,1174,5
ACM6,AC,M6,6,Training,M,175,125,3280,11439,1,1762,5
ACM7,AC,M7,7,Validation,M,175,125,3847,13436,8,2023,5
ACM8,AC,M8,8,Validation,M,175,125,3141,10914,7,1688,5
ACM9,AC,M9,9,Validation,M,175,125,3835,13416,8,1982,5
ACM10,AC,M10,10,Cross-validation,M,175,125,5243,18207,3,2853,5
ACT1,AC,T1,1,Training,T,90,70,5111,18013,2,2555,5
ACT2,AC,T2,2,Training,T,90,70,2695,9445,2,1403,5
ACT3,AC,T3,3,Training,T,90,70,4068,14279,1,2104,5
ACT4,AC,T4,4,Training,T,90,70,3849,13482,6,1997,5
ACT5,AC,T5,5,Training,T,90,70,4226,14793,2,2225,5
ACT6,AC,T6,6,Training,T,90,70,4532,15917,2,2309,5
ACT7,AC,T7,7,Validation,T,90,70,4459,15637,0,2299,5
ACT8,AC,T8,8,Validation,T,90,70,4623,16214,2,2383,5
ACT9,AC,T9,9,Validation,T,90,70,4283,15073,3,2167,5
ACT10,AC,T10,10,Cross-validation,T,90,70,4939,17352,1,2527,5
ACT1,AC,T1,1,Training,T,90,100,4919,17294,2,2497,5
ACT2,AC,T2,2,Training,T,90,100,2625,9184,1,1380,5
ACT3,AC,T3,3,Training,T,90,100,4138,14506,3,2155,5
ACT4,AC,T4,4,Training,T,90,100,3678,12870,2,1921,5
ACT5,AC,T5,5,Training,T,90,100,4207,14719,1,2223,5
ACT6,AC,T6,6,Training,T,90,100,4410,15493,2,2246,5
ACT7,AC,T7,7,Validation,T,90,100,4460,15647,0,2294,5
ACT8,AC,T8,8,Validation,T,90,100,4555,15982,2,2341,5
ACT9,AC,T9,9,Validation,T,90,100,4191,14762,3,2109,5
ACT10,AC,T10,10,Cross-validation,T,90,100,4634,16268,1,2389,5
ACT1,AC,T1,1,Training,T,90,125,3748,13202,2,1872,5
ACT2,AC,T2,2,Training,T,90,125,1930,6770,1,1000,5
ACT3,AC,T3,3,Training,T,90,125,3688,12947,1,1906,5
ACT4,AC,T4,4,Training,T,90,125,3070,10725,2,1632,5
ACT5,AC,T5,5,Training,T,90,125,3818,13364,1,2007,5
ACT6,AC,T6,6,Training,T,90,125,3446,12100,2,1773,5
ACT7,AC,T7,7,Validation,T,90,125,4430,15544,0,2276,5
ACT8,AC,T8,8,Validation,T,90,125,3234,11299,1,1709,5
ACT9,AC,T9,9,Validation,T,90,125,3744,13148,3,1926,5
ACT10,AC,T10,10,Cross-validation,T,90,125,2785,9785,1,1424,5
ACT1,AC,T1,1,Training,T,125,70,5070,17763,5,2616,5
ACT2,AC,T2,2,Training,T,125,70,2656,9329,3,1359,5
ACT3,AC,T3,3,Training,T,125,70,4107,14319,28,2159,5
ACT4,AC,T4,4,Training,T,125,70,3713,13005,6,1917,5
ACT5,AC,T5,5,Training,T,125,70,4236,14832,3,2217,5
ACT6,AC,T6,6,Training,T,125,70,4561,16004,4,2326,5
ACT7,AC,T7,7,Validation,T,125,70,4491,15734,0,2324,5
ACT8,AC,T8,8,Validation,T,125,70,4679,16378,2,2446,5
ACT9,AC,T9,9,Validation,T,125,70,4336,15255,3,2202,5
ACT10,AC,T10,10,Cross-validation,T,125,70,4900,17216,1,2499,5
ACT1,AC,T1,1,Training,T,125,100,4899,17119,5,2567,5
ACT2,AC,T2,2,Training,T,125,100,2591,9080,2,1343,5
ACT3,AC,T3,3,Training,T,125,100,4049,14146,1,2142,5
ACT4,AC,T4,4,Training,T,125,100,3563,12460,3,1861,5
ACT5,AC,T5,5,Training,T,125,100,4214,14758,2,2205,5
ACT6,AC,T6,6,Training,T,125,100,4507,15797,4,2322,5
ACT7,AC,T7,7,Validation,T,125,100,4624,16168,0,2423,5
ACT8,AC,T8,8,Validation,T,125,100,4628,16213,2,2408,5
ACT9,AC,T9,9,Validation,T,125,100,4211,14827,3,2122,5
ACT10,AC,T10,10,Cross-validation,T,125,100,4605,16174,1,2362,5
ACT1,AC,T1,1,Training,T,125,125,3927,13674,2,2111,5
ACT2,AC,T2,2,Training,T,125,125,1961,6883,2,1005,5
ACT3,AC,T3,3,Training,T,125,125,3693,12898,1,1952,5
ACT4,AC,T4,4,Training,T,125,125,3009,10522,2,1584,5
ACT5,AC,T5,5,Training,T,125,125,3867,13480,2,2080,5
ACT6,AC,T6,6,Training,T,125,125,3529,12384,4,1814,5
ACT7,AC,T7,7,Validation,T,125,125,4463,15640,0,2306,5
ACT8,AC,T8,8,Validation,T,125,125,3353,11751,1,1733,5
ACT9,AC,T9,9,Validation,T,125,125,3878,13588,5,2018,5
ACT10,AC,T10,10,Cross-validation,T,125,125,2841,10009,0,1427,5
ACT1,AC,T1,1,Training,T,175,70,4885,17079,7,2543,5
ACT2,AC,T2,2,Training,T,175,70,2643,9276,5,1339,5
ACT3,AC,T3,3,Training,T,175,70,4079,14290,2,2108,5
ACT4,AC,T4,4,Training,T,175,70,3496,12240,5,1810,5
ACT5,AC,T5,5,Training,T,175,70,4116,14428,5,2127,5
ACT6,AC,T6,6,Training,T,175,70,4434,15590,3,2239,5
ACT7,AC,T7,7,Validation,T,175,70,4414,15380,1,2366,5
ACT8,AC,T8,8,Validation,T,175,70,4612,16184,3,2368,5
ACT9,AC,T9,9,Validation,T,175,70,4217,14742,3,2210,5
ACT10,AC,T10,10,Cross-validation,T,175,70,4794,16794,4,2492,5
ACT1,AC,T1,1,Training,T,175,100,4753,16603,8,2488,5
ACT2,AC,T2,2,Training,T,175,100,2596,9094,4,1332,5
ACT3,AC,T3,3,Training,T,175,100,4174,14606,5,2173,5
ACT4,AC,T4,4,Training,T,175,100,3391,11847,3,1782,5
ACT5,AC,T5,5,Training,T,175,100,4115,14431,3,2126,5
ACT6,AC,T6,6,Training,T,175,100,4341,15280,3,2187,5
ACT7,AC,T7,7,Validation,T,175,100,4414,15380,1,2366,5
ACT8,AC,T8,8,Validation,T,175,100,4565,16029,3,2336,5
ACT9,AC,T9,9,Validation,T,175,100,4174,14577,3,2199,5
ACT10,AC,T10,10,Cross-validation,T,175,100,4542,15939,2,2344,5
ACT1,AC,T1,1,Training,T,175,125,3947,13732,4,2123,5
ACT2,AC,T2,2,Training,T,175,125,2060,7223,3,1064,5
ACT3,AC,T3,3,Training,T,175,125,3745,13107,2,1944,5
ACT4,AC,T4,4,Training,T,175,125,2896,10092,2,1544,5
ACT5,AC,T5,5,Training,T,175,125,3817,13327,3,2020,5
ACT6,AC,T6,6,Training,T,175,125,3624,12718,5,1848,5
ACT7,AC,T7,7,Validation,T,175,125,4396,15321,1,2355,5
ACT8,AC,T8,8,Validation,T,175,125,3452,12099,1,1790,5
ACT9,AC,T9,9,Validation,T,175,125,3717,13009,3,1929,5
ACT10,AC,T10,10,Cross-validation,T,175,125,2925,10286,0,1475,5
ANB1,AN,B1,1,Training,B,90,70,1367,4738,12,729,5
ANB2,AN,B2,2,Training,B,90,70,1446,4972,10,816,5
ANB3,AN,B3,3,Training,B,90,70,1596,5521,11,869,5
ANB4,AN,B4,4,Training,B,90,70,1298,4453,9,745,5
ANB5,AN,B5,5,Training,B,90,70,1084,3739,10,590,5
ANB6,AN,B6,6,Training,B,90,70,2099,7313,7,1110,5
ANB7,AN,B7,7,Validation,B,90,70,1958,6774,6,1084,5
ANB8,AN,B8,8,Validation,B,90,70,1161,3988,7,662,5
ANB9,AN,B9,9,Validation,B,90,70,1280,4442,8,685,5
ANB10,AN,B10,10,Cross-validation,B,90,70,838,2895,12,444,5
ANB1,AN,B1,1,Training,B,90,100,1339,4643,12,711,5
ANB2,AN,B2,2,Training,B,90,100,1447,4976,10,817,5
ANB3,AN,B3,3,Training,B,90,100,1584,5478,11,863,5
ANB4,AN,B4,4,Training,B,90,100,1316,4520,10,749,5
ANB5,AN,B5,5,Training,B,90,100,1199,4123,13,669,5
ANB6,AN,B6,6,Training,B,90,100,2101,7321,7,1110,5
ANB7,AN,B7,7,Validation,B,90,100,2073,7169,8,1156,5
ANB8,AN,B8,8,Validation,B,90,100,1159,3998,7,645,5
ANB9,AN,B9,9,Validation,B,90,100,1280,4443,8,685,5
ANB10,AN,B10,10,Cross-validation,B,90,100,840,2900,12,447,5
ANB1,AN,B1,1,Training,B,90,125,1315,4549,12,707,5
ANB2,AN,B2,2,Training,B,90,125,1395,4804,10,785,5
ANB3,AN,B3,3,Training,B,90,125,1430,4941,10,787,5
ANB4,AN,B4,4,Training,B,90,125,1200,4125,9,680,5
ANB5,AN,B5,5,Training,B,90,125,1017,3502,9,561,5
ANB6,AN,B6,6,Training,B,90,125,2041,7103,7,1085,5
ANB7,AN,B7,7,Validation,B,90,125,1900,6557,6,1064,5
ANB8,AN,B8,8,Validation,B,90,125,1103,3792,8,626,5
ANB9,AN,B9,9,Validation,B,90,125,1264,4381,7,684,5
ANB10,AN,B10,10,Cross-validation,B,90,125,782,2697,12,418,5
ANB1,AN,B1,1,Training,B,125,70,935,3207,17,515,5
ANB2,AN,B2,2,Training,B,125,70,977,3355,15,532,5
ANB3,AN,B3,3,Training,B,125,70,1110,3835,13,600,5
ANB4,AN,B4,4,Training,B,125,70,886,3022,7,520,5
ANB5,AN,B5,5,Training,B,125,70,773,2652,12,425,5
ANB6,AN,B6,6,Training,B,125,70,1567,5417,9,875,5
ANB7,AN,B7,7,Validation,B,125,70,1446,4946,10,841,5
ANB8,AN,B8,8,Validation,B,125,70,894,3048,18,502,5
ANB9,AN,B9,9,Validation,B,125,70,890,3067,12,478,5
ANB10,AN,B10,10,Cross-validation,B,125,70,595,2044,11,317,5
ANB1,AN,B1,1,Training,B,125,100,909,3123,14,500,5
ANB2,AN,B2,2,Training,B,125,100,977,3355,15,532,5
ANB3,AN,B3,3,Training,B,125,100,1092,3770,13,594,5
ANB4,AN,B4,4,Training,B,125,100,902,3084,7,523,5
ANB5,AN,B5,5,Training,B,125,100,790,2714,15,428,5
ANB6,AN,B6,6,Training,B,125,100,1447,5006,9,792,5
ANB7,AN,B7,7,Validation,B,125,100,1385,4753,10,790,5
ANB8,AN,B8,8,Validation,B,125,100,861,2971,9,466,5
ANB9,AN,B9,9,Validation,B,125,100,874,3016,12,465,5
ANB10,AN,B10,10,Cross-validation,B,125,100,595,2043,11,318,5
ANB1,AN,B1,1,Training,B,125,125,885,3042,14,484,5
ANB2,AN,B2,2,Training,B,125,125,952,3267,16,521,5
ANB3,AN,B3,3,Training,B,125,125,967,3320,12,540,5
ANB4,AN,B4,4,Training,B,125,125,809,2751,7,481,5
ANB5,AN,B5,5,Training,B,125,125,712,2436,11,400,5
ANB6,AN,B6,6,Training,B,125,125,1453,5057,6,782,5
ANB7,AN,B7,7,Validation,B,125,125,1336,4579,10,764,5
ANB8,AN,B8,8,Validation,B,125,125,804,2741,10,464,5
ANB9,AN,B9,9,Validation,B,125,125,853,2936,11,462,5
ANB10,AN,B10,10,Cross-validation,B,125,125,546,1873,11,293,5
ANB1,AN,B1,1,Training,B,175,70,621,2115,6,365,5
ANB2,AN,B2,2,Training,B,175,70,723,2478,11,400,5
ANB3,AN,B3,3,Training,B,175,70,817,2819,10,440,5
ANB4,AN,B4,4,Training,B,175,70,604,2036,10,369,5
ANB5,AN,B5,5,Training,B,175,70,580,1993,10,312,5
ANB6,AN,B6,6,Training,B,175,70,947,3270,13,507,5
ANB7,AN,B7,7,Validation,B,175,70,1068,3637,12,630,5
ANB8,AN,B8,8,Validation,B,175,70,615,2101,13,342,5
ANB9,AN,B9,9,Validation,B,175,70,662,2272,8,369,5
ANB10,AN,B10,10,Cross-validation,B,175,70,389,1337,8,205,5
ANB1,AN,B1,1,Training,B,175,100,713,2446,7,417,5
ANB2,AN,B2,2,Training,B,175,100,723,2478,11,400,5
ANB3,AN,B3,3,Training,B,175,100,801,2752,11,441,5
ANB4,AN,B4,4,Training,B,175,100,563,1915,6,332,5
ANB5,AN,B5,5,Training,B,175,100,584,2008,10,313,5
ANB6,AN,B6,6,Training,B,175,100,951,3285,13,508,5
ANB7,AN,B7,7,Validation,B,175,100,964,3297,11,550,5
ANB8,AN,B8,8,Validation,B,175,100,558,1909,9,311,5
ANB9,AN,B9,9,Validation,B,175,100,619,2134,8,331,5
ANB10,AN,B10,10,Cross-validation,B,175,100,394,1356,8,206,5
ANB1,AN,B1,1,Training,B,175,125,600,2046,6,349,5
ANB2,AN,B2,2,Training,B,175,125,684,2344,12,378,5
ANB3,AN,B3,3,Training,B,175,125,865,2926,13,515,5
ANB4,AN,B4,4,Training,B,175,125,494,1681,5,290,5
ANB5,AN,B5,5,Training,B,175,125,656,2236,13,378,5
ANB6,AN,B6,6,Training,B,175,125,923,3184,9,504,5
ANB7,AN,B7,7,Validation,B,175,125,918,3133,12,525,5
ANB8,AN,B8,8,Validation,B,175,125,541,1811,13,332,5
ANB9,AN,B9,9,Validation,B,175,125,580,1997,7,314,5
ANB10,AN,B10,10,Cross-validation,B,175,125,358,1246,7,178,5
ANM1,AN,M1,1,Training,M,90,70,2602,9087,6,1360,5
ANM2,AN,M2,2,Training,M,90,70,2263,7820,14,1253,5
ANM3,AN,M3,3,Training,M,90,70,2179,7659,4,1097,5
ANM4,AN,M4,4,Training,M,90,70,2404,8479,8,1212,5
ANM5,AN,M5,5,Training,M,90,70,2336,8138,4,1241,5
ANM6,AN,M6,6,Training,M,90,70,1477,5105,18,800,5
ANM7,AN,M7,7,Validation,M,90,70,1961,6873,11,989,5
ANM8,AN,M8,8,Validation,M,90,70,1985,6920,13,1031,5
ANM9,AN,M9,9,Validation,M,90,70,2239,7737,9,1233,5
ANM10,AN,M10,10,Cross-validation,M,90,70,2717,9431,6,1475,5
ANM1,AN,M1,1,Training,M,90,100,2594,9045,7,1366,5
ANM2,AN,M2,2,Training,M,90,100,2122,7333,14,1167,5
ANM3,AN,M3,3,Training,M,90,100,2112,7443,2,1053,5
ANM4,AN,M4,4,Training,M,90,100,2342,8190,6,1208,5
ANM5,AN,M5,5,Training,M,90,100,2342,8156,4,1247,5
ANM6,AN,M6,6,Training,M,90,100,1363,4715,14,738,5
ANM7,AN,M7,7,Validation,M,90,100,1965,6895,11,983,5
ANM8,AN,M8,8,Validation,M,90,100,1986,6935,13,1024,5
ANM9,AN,M9,9,Validation,M,90,100,2244,7740,9,1249,5
ANM10,AN,M10,10,Cross-validation,M,90,100,2715,9423,6,1475,5
ANM1,AN,M1,1,Training,M,90,125,2503,8741,7,1308,5
ANM2,AN,M2,2,Training,M,90,125,2065,7153,13,1120,5
ANM3,AN,M3,3,Training,M,90,125,1938,6795,2,994,5
ANM4,AN,M4,4,Training,M,90,125,2217,7750,5,1149,5
ANM5,AN,M5,5,Training,M,90,125,2203,7666,4,1183,5
ANM6,AN,M6,6,Training,M,90,125,1267,4383,14,684,5
ANM7,AN,M7,7,Validation,M,90,125,1817,6375,10,910,5
ANM8,AN,M8,8,Validation,M,90,125,1836,6417,13,935,5
ANM9,AN,M9,9,Validation,M,90,125,2145,7432,9,1168,5
ANM10,AN,M10,10,Cross-validation,M,90,125,2640,9178,5,1423,5
ANM1,AN,M1,1,Training,M,125,70,2148,7464,8,1152,5
